id,title,overview,popularity,poster,genre_ids,vote_avg
1327881,Voice of Shadows,A young working class woman stands to inherit an estate if she and her boyfriend abide by a set of bizarre stipulations.,99.1637,/hffZQgrulC6jgneLuTANQrYgiui.jpg,"[27, 9648, 53]",4.667
1137179,Yadang: The Snitch,"Navigating both the criminal underworld and law enforcement agencies, professional snitches called ""yadang"" provide covert information about the drug world to prosecutors and police. When a drug bust at a party attended by high-profile second-generation VIPs entangles those involved into a dangerous conspiracy, a seasoned yadang must do everything in his power not just to make it out on top, but alive.",89.1112,/y7dsDbG8zVWkrkyOhA6ckZXX1uC.jpg,"[80, 28, 35, 18, 53]",7.0
533533,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",89.9112,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,"[878, 12, 28]",6.546
1439112,Muzzle: City of Wolves,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones.",88.3606,/8qTMRmC07XCGidnKQFLbRM3FoDU.jpg,"[28, 53, 9648]",6.778
1445698,The Pearl Comb,"A doctor, hell-bent on proving a woman’s place is in the home and not practising medicine, is sent to investigate her miraculous claim - only to discover the source of her unearthly power...",86.0903,/737hppvYVz8Wx9I2McyQPHCD7PB.jpg,[27],7.0
1491902,Bang,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",78.8839,/8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg,"[28, 53]",6.3
1247002,The Old Woman with the Knife,"Aging assassin Hornclaw has seen it all, but she never expected to mentor a reckless rookie like Bullfight. As their unlikely bond deepens, cracks form in the underworld they navigate together. When Hornclaw discovers someone wants her dead, she's thrust into a deadly game of deception. With enemies closing in and trust in short supply, survival means staying sharp—both blade and mind.",79.8253,/wbmxnsv41vsg5UEaNDlf203dOWw.jpg,"[28, 9648, 18]",6.5
1539104,JUJUTSU KAISEN: Execution,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",82.224,/v0s3dx6am0RzfsuK3KdEy8ZoCDs.jpg,"[16, 28]",5.6
76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",75.4274,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"[28, 12, 878]",7.6
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",70.1711,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,"[28, 12, 14, 878]",7.6
